Classifier	tp	fp	fn	ok	no	(tp+fp+fn+ok+no)	sens	prec	f1	pearson
SRR1804065_1.filtr.fq_MP.V1.res	437560	1538505	3237479	167019	120420	5500983	0.081322	0.221430	0.118957	0.929060
SRR1804065_1.filtr.fq_MP.V2.res	437663	1544960	3231310	166524	120526	5500983	0.081343	0.220749	0.118880	0.929104
SRR1804065_1.filtr.fq_MPZ.V1.res	457273	2467623	2271798	181608	122681	5500983	0.085022	0.156338	0.110144	0.929372
SRR1804065_1.filtr.fq_MPZ.V2.res	461666	3094802	1627072	192009	125434	5500983	0.085883	0.129810	0.103373	0.930028
SRR1804065_1.filtr.fq_MT.V1.res	424586	1405316	3390263	161948	118870	5500983	0.078888	0.232027	0.117744	0.918118
SRR1804065_1.filtr.fq_MT.V2.res	424345	1424275	3390357	142992	119014	5500983	0.078846	0.229547	0.117375	0.918183
SRR1804065_1.filtr.fq_MTZ.V1.res	450013	2473200	2271798	183291	122681	5500983	0.083672	0.153945	0.108417	0.924014
SRR1804065_1.filtr.fq_MTZ.V2.res	453853	3116887	1627072	177737	125434	5500983	0.084429	0.127103	0.101462	0.924641
strex_centrifuge_SRR1804065.res	435805	1564786	3249654	158039	92699	5500983	0.080581	0.217838	0.117644	0.930257
strex_centrifuge_SRR180406_SP.res	436990	1647800	3162845	160197	93151	5500983	0.080807	0.209609	0.116645	0.930506
strex_centrifuge_SRR180406_SPZ.res	440161	2933581	1811606	191028	124607	5500983	0.081869	0.130467	0.100607	0.931461
strex_centrifuge_SRR180406_ST.res	423153	1438233	3546654	74216	18727	5500983	0.077186	0.227332	0.115243	0.918740
strex_centrifuge_SRR180406_STZ.res	430756	2948481	1811606	185533	124607	5500983	0.080120	0.127471	0.098395	0.922542
strex_clark_genus_SRR1804065.res	0	335735	3599861	1483084	82303	5500983	0.000000	0.000000	0.000000	-nan
strex_clark_genus_SRR180406_SP.res	0	378245	3426268	1578753	117717	5500983	0.000000	0.000000	0.000000	-nan
strex_clark_genus_SRR180406_SPZ.res	0	676804	2613015	2091529	119635	5500983	0.000000	0.000000	0.000000	-nan
strex_clark_genus_SRR180406_ST.res	0	329879	3556014	1498742	116348	5500983	0.000000	0.000000	0.000000	-nan
strex_clark_genus_SRR180406_STZ.res	0	656995	2613015	2111338	119635	5500983	0.000000	0.000000	0.000000	-nan
strex_clark_species_SRR1804065.res	0	335735	3599861	1483084	82303	5500983	0.000000	0.000000	0.000000	-nan
strex_clark_species_SRR180406_SP.res	0	378231	3426335	1578702	117715	5500983	0.000000	0.000000	0.000000	-nan
strex_clark_species_SRR180406_SPZ.res	0	676408	2613015	2091925	119635	5500983	0.000000	0.000000	0.000000	-nan
strex_clark_species_SRR180406_ST.res	0	329734	3556099	1498805	116345	5500983	0.000000	0.000000	0.000000	-nan
strex_clark_species_SRR180406_STZ.res	0	657024	2613015	2111309	119635	5500983	0.000000	0.000000	0.000000	-nan
strex_k2_SRR1804065.res	435598	1671513	3126207	173693	93972	5500983	0.080562	0.206728	0.115941	0.931827
strex_k2_SRR180406_SP.res	436330	1782356	2974681	185926	121690	5500983	0.081113	0.196661	0.114854	0.931943
strex_k2_SRR180406_SPZ.res	453334	2762883	1954226	206905	123635	5500983	0.084304	0.140953	0.105505	0.929278
strex_k2_SRR180406_ST.res	423580	1606061	3178169	172621	120552	5500983	0.078726	0.208697	0.114325	0.918304
strex_k2_SRR180406_STZ.res	447726	2770360	1954226	205036	123635	5500983	0.083261	0.139128	0.104178	0.923570
strex_kraken1_SRR1804065.res	435673	1352782	3478309	144717	89502	5500983	0.080509	0.243603	0.121021	0.928082
strex_kraken1_SRR180406_SP.res	436481	1444146	3339448	161422	119486	5500983	0.081108	0.232093	0.120208	0.928242
strex_kraken1_SRR180406_SPZ.res	451531	2227024	2530518	170701	121209	5500983	0.083931	0.168573	0.112066	0.923065
strex_kraken1_SRR180406_ST.res	423938	1340976	3463513	154453	118103	5500983	0.078757	0.240203	0.118621	0.917463
strex_kraken1_SRR180406_STZ.res	442617	2237781	2530518	168858	121209	5500983	0.082274	0.165131	0.109828	0.914763
