Classifier	tp	fp	fn	ok	no	(tp+fp+fn+ok+no)	sens	prec	f1	pearson
strex_centrifuge_250000.res	2729742	18004	345022	32232	0	3125000	0.873517	0.993448	0.929631	0.966820
strex_centrifuge_25000_SP.res	2789078	18708	284940	32274	0	3125000	0.892505	0.993337	0.940225	0.968308
strex_centrifuge_25000_SPZ.res	2932001	79283	81358	32358	0	3125000	0.938240	0.973671	0.955628	0.986842
strex_centrifuge_25000_ST.res	2739981	17294	336757	30968	0	3125000	0.876794	0.993728	0.931606	0.955382
strex_centrifuge_25000_STZ.res	2930967	81495	81358	31180	0	3125000	0.937909	0.972947	0.955107	0.986285
strex_clark_genus_250000.res	2628976	9530	486494	0	0	3125000	0.841272	0.996388	0.912284	0.960236
strex_clark_genus_25000_SP.res	2708684	9807	406509	0	0	3125000	0.866779	0.996392	0.927077	0.963736
strex_clark_genus_25000_SPZ.res	2921969	71344	131687	0	0	3125000	0.935030	0.976166	0.955155	0.995415
strex_clark_genus_25000_ST.res	2668368	9014	447618	0	0	3125000	0.853878	0.996633	0.919749	0.953283
strex_clark_genus_25000_STZ.res	2920555	72758	131687	0	0	3125000	0.934578	0.975693	0.954693	0.995419
strex_clark_species_250000.res	2311930	12115	800955	0	0	3125000	0.739818	0.994787	0.848563	0.927148
strex_clark_species_25000_SP.res	2373502	12347	739151	0	0	3125000	0.759521	0.994825	0.861393	0.928864
strex_clark_species_25000_SPZ.res	2682654	75786	366560	0	0	3125000	0.858449	0.972526	0.911934	0.973329
strex_clark_species_25000_ST.res	2289018	10444	825538	0	0	3125000	0.732486	0.995458	0.843961	0.915270
strex_clark_species_25000_STZ.res	2682657	75783	366560	0	0	3125000	0.858450	0.972527	0.911935	0.973336
strex_kraken1_250000.res	2700772	10042	376502	37684	0	3125000	0.864247	0.996296	0.925585	0.962139
strex_kraken1_25000_SP.res	2748538	10152	328614	37696	0	3125000	0.879532	0.996320	0.934291	0.963334
strex_kraken1_25000_SPZ.res	2982130	10457	94694	37719	0	3125000	0.954282	0.996506	0.974937	0.995317
strex_kraken1_25000_ST.res	2671168	11863	403856	38113	0	3125000	0.854774	0.995579	0.919819	0.943840
strex_kraken1_25000_STZ.res	2979850	12328	94694	38128	0	3125000	0.953552	0.995880	0.974256	0.995042
strex_kraken2_250000.res	2753750	14753	317806	38691	0	3125000	0.881200	0.994671	0.934504	0.968356
strex_kraken2_25000_SP.res	2824587	14987	246711	38715	0	3125000	0.903868	0.994722	0.947121	0.970309
strex_kraken2_25000_SPZ.res	2993902	15381	76969	38748	0	3125000	0.958049	0.994889	0.976121	0.996085
strex_kraken2_25000_ST.res	2806052	15369	264072	39507	0	3125000	0.897937	0.994553	0.943778	0.965418
strex_kraken2_25000_STZ.res	2992387	16018	76969	39626	0	3125000	0.957564	0.994676	0.975767	0.995962
