Classifier	tp	fp	fn	ok	no	(tp+fp+fn+ok+no)	sens	prec	f1	pearson
strex_centrifuge_250000.res	2729742	18004	345022	32232	0	3125000	0.873517	0.993448	0.929631	0.966820
strex_centrifuge_25000_SP.res	2780773	18230	293731	32266	0	3125000	0.889847	0.993487	0.938816	0.968352
strex_centrifuge_25000_SPZ.res	2904983	71342	116205	32470	0	3125000	0.929595	0.976030	0.952247	0.986653
strex_centrifuge_25000_ST.res	2739901	15733	337616	31750	0	3125000	0.876768	0.994291	0.931839	0.957185
strex_centrifuge_25000_STZ.res	2905314	71350	116205	32131	0	3125000	0.929700	0.976030	0.952302	0.986177
strex_clark_genus_250000.res	2628976	9530	486494	0	0	3125000	0.841272	0.996388	0.912284	0.960236
strex_clark_genus_25000_SP.res	2696928	9625	418447	0	0	3125000	0.863017	0.996444	0.924943	0.963565
strex_clark_genus_25000_SPZ.res	2884110	36983	203907	0	0	3125000	0.922915	0.987339	0.954041	0.994892
strex_clark_genus_25000_ST.res	2664574	8597	451829	0	0	3125000	0.852664	0.996784	0.919108	0.954443
strex_clark_genus_25000_STZ.res	2884534	36559	203907	0	0	3125000	0.923051	0.987484	0.954181	0.994905
strex_clark_species_250000.res	2311930	12115	800955	0	0	3125000	0.739818	0.994787	0.848563	0.927148
strex_clark_species_25000_SP.res	2359863	12215	752922	0	0	3125000	0.755156	0.994851	0.858588	0.928394
strex_clark_species_25000_SPZ.res	2622217	40026	462757	0	0	3125000	0.839109	0.984965	0.906206	0.971714
strex_clark_species_25000_ST.res	2291302	10997	822701	0	0	3125000	0.733217	0.995223	0.844362	0.909164
strex_clark_species_25000_STZ.res	2568377	93866	462757	0	0	3125000	0.821881	0.964742	0.887600	0.961191
strex_kraken1_250000.res	2700772	10042	376502	37684	0	3125000	0.864247	0.996296	0.925585	0.962139
strex_kraken1_25000_SP.res	2762596	10074	314639	37691	0	3125000	0.884031	0.996367	0.936843	0.964684
strex_kraken1_25000_SPZ.res	2892909	64641	129753	37697	0	3125000	0.925731	0.978144	0.951216	0.985004
strex_kraken1_25000_ST.res	2730308	9024	347723	37945	0	3125000	0.873699	0.996706	0.931157	0.955638
strex_kraken1_25000_STZ.res	2948183	9097	129753	37967	0	3125000	0.943419	0.996924	0.969434	0.994968
strex_kraken2_250000.res	2753750	14753	317806	38691	0	3125000	0.881200	0.994671	0.934504	0.968356
strex_kraken2_25000_SP.res	2814778	14819	256705	38698	0	3125000	0.900729	0.994763	0.945413	0.970357
strex_kraken2_25000_SPZ.res	2964199	14906	107190	38705	0	3125000	0.948544	0.994996	0.971215	0.995849
strex_kraken2_25000_ST.res	2801415	13063	271608	38914	0	3125000	0.896453	0.995359	0.943320	0.965986
strex_kraken2_25000_STZ.res	2965682	13207	107190	38921	0	3125000	0.949018	0.995566	0.971735	0.995806
