Classifier	tp	fp	fn	ok	no	(tp+fp+fn+ok+no)	sens	prec	f1	pearson
strex_centrifuge_250000.res	2174170	233414	345022	372394	0	3125000	0.695734	0.903051	0.785951	0.897337
strex_centrifuge_25000_SP.res	2226088	249202	276106	373604	0	3125000	0.712348	0.899324	0.794990	0.901160
strex_centrifuge_25000_SPZ.res	2374889	317909	57448	374754	0	3125000	0.759964	0.881941	0.816422	0.921751
strex_centrifuge_25000_ST.res	2178507	214365	334300	397828	0	3125000	0.697122	0.910415	0.789619	0.947046
strex_centrifuge_25000_STZ.res	2377496	290116	57448	399940	0	3125000	0.760799	0.891245	0.820872	0.951443
strex_clark_genus_250000.res	0	9530	486494	2628976	0	3125000	0.000000	0.000000	0.000000	-nan
strex_clark_genus_25000_SP.res	0	13122	389831	2722047	0	3125000	0.000000	0.000000	0.000000	-nan
strex_clark_genus_25000_SPZ.res	0	78239	93752	2953009	0	3125000	0.000000	0.000000	0.000000	-nan
strex_clark_genus_25000_ST.res	0	36135	437863	2651002	0	3125000	0.000000	0.000000	0.000000	-nan
strex_clark_genus_25000_STZ.res	0	103671	93752	2927577	0	3125000	0.000000	0.000000	0.000000	-nan
strex_clark_species_250000.res	2117987	206058	800955	0	0	3125000	0.677756	0.911336	0.777379	0.887492
strex_clark_species_25000_SP.res	2189188	232529	703283	0	0	3125000	0.700540	0.903982	0.789364	0.892781
strex_clark_species_25000_SPZ.res	2422579	440334	262087	0	0	3125000	0.775225	0.846194	0.809156	0.928026
strex_clark_species_25000_ST.res	2086654	196763	841583	0	0	3125000	0.667729	0.913830	0.771632	0.937798
strex_clark_species_25000_STZ.res	2422409	440504	262087	0	0	3125000	0.775171	0.846134	0.809100	0.955567
strex_kraken1_250000.res	2148207	229175	376502	371116	0	3125000	0.687426	0.903602	0.780828	0.887158
strex_kraken1_25000_SP.res	2186106	244928	321102	372864	0	3125000	0.699554	0.899249	0.786930	0.888456
strex_kraken1_25000_SPZ.res	2430319	249817	71274	373590	0	3125000	0.777702	0.906789	0.837300	0.925692
strex_kraken1_25000_ST.res	2094376	222850	404212	403562	0	3125000	0.670200	0.903829	0.769676	0.938260
strex_kraken1_25000_STZ.res	2418455	230822	71274	404449	0	3125000	0.773906	0.912874	0.837665	0.945535
strex_kraken2_250000.res	2179721	252079	317806	375394	0	3125000	0.697511	0.896341	0.784524	0.894337
strex_kraken2_25000_SP.res	2244896	264598	239013	376493	0	3125000	0.718367	0.894561	0.796840	0.897958
strex_kraken2_25000_SPZ.res	2361193	330852	55694	377261	0	3125000	0.755582	0.877100	0.811819	0.915527
strex_kraken2_25000_ST.res	2220965	239039	262429	402567	0	3125000	0.710709	0.902830	0.795332	0.941103
strex_kraken2_25000_STZ.res	2354333	311153	55694	403820	0	3125000	0.753387	0.883266	0.813173	0.944016
