Classifier	tp	fp	fn	ok	no	(tp+fp+fn+ok+no)	sens	prec	f1	pearson
strex_centrifuge_250000.res	2729742	18004	345022	32232	0	3125000	0.873517	0.993448	0.929631	0.966820
strex_centrifuge_25000_SP.res	2792927	19367	280393	32313	0	3125000	0.893737	0.993113	0.940808	0.968460
strex_centrifuge_25000_SPZ.res	2938378	82853	71251	32518	0	3125000	0.940281	0.972576	0.956156	0.987017
strex_centrifuge_25000_ST.res	2733804	15440	345848	29908	0	3125000	0.874817	0.994384	0.930776	0.955795
strex_centrifuge_25000_STZ.res	2930505	93083	71251	30161	0	3125000	0.937762	0.969214	0.953229	0.986663
strex_clark_genus_250000.res	2628976	9530	486494	0	0	3125000	0.841272	0.996388	0.912284	0.960236
strex_clark_genus_25000_SP.res	2714672	12038	398290	0	0	3125000	0.868695	0.995585	0.927822	0.964168
strex_clark_genus_25000_SPZ.res	2933849	73665	117486	0	0	3125000	0.938832	0.975506	0.956818	0.996169
strex_clark_genus_25000_ST.res	2663606	21545	439849	0	0	3125000	0.852354	0.991976	0.916880	0.953594
strex_clark_genus_25000_STZ.res	2923304	84210	117486	0	0	3125000	0.935457	0.972000	0.953379	0.996235
strex_clark_species_250000.res	2311930	12115	800955	0	0	3125000	0.739818	0.994787	0.848563	0.927148
strex_clark_species_25000_SP.res	2394543	12641	717816	0	0	3125000	0.766254	0.994749	0.865677	0.930325
strex_clark_species_25000_SPZ.res	2723059	81147	320794	0	0	3125000	0.871379	0.971062	0.918524	0.977013
strex_clark_species_25000_ST.res	2292863	10076	822061	0	0	3125000	0.733716	0.995625	0.844837	0.915305
strex_clark_species_25000_STZ.res	2655660	148546	320794	0	0	3125000	0.849811	0.947027	0.895789	0.976632
strex_kraken1_250000.res	2700772	10042	376502	37684	0	3125000	0.864247	0.996296	0.925585	0.962139
strex_kraken1_25000_SP.res	2743671	10280	333316	37733	0	3125000	0.877975	0.996267	0.933388	0.963377
strex_kraken1_25000_SPZ.res	2929308	72581	85225	37886	0	3125000	0.937379	0.975822	0.956214	0.985465
strex_kraken1_25000_ST.res	2640761	21934	424144	38161	0	3125000	0.845044	0.991762	0.912543	0.942608
strex_kraken1_25000_STZ.res	2978285	23197	85225	38293	0	3125000	0.953051	0.992271	0.972266	0.995098
strex_kraken2_250000.res	2753750	14753	317806	38691	0	3125000	0.881200	0.994671	0.934504	0.968356
strex_kraken2_25000_SP.res	2828139	15162	242951	38748	0	3125000	0.905004	0.994667	0.947720	0.970356
strex_kraken2_25000_SPZ.res	3001329	16875	67881	38915	0	3125000	0.960425	0.994409	0.977122	0.996189
strex_kraken2_25000_ST.res	2797572	25600	262630	39198	0	3125000	0.895223	0.990932	0.940649	0.964991
strex_kraken2_25000_STZ.res	2989889	27925	67881	39305	0	3125000	0.956764	0.990747	0.973459	0.995688
