Classifier	tp	fp	fn	ok	no	(tp+fp+fn+ok+no)	sens	prec	f1	pearson
strex_centrifuge_250000.res	2729742	18004	345022	32232	0	3125000	0.873517	0.993448	0.929631	0.966820
strex_centrifuge_25000_SP.res	2799118	20997	272507	32378	0	3125000	0.895718	0.992555	0.941653	0.968544
strex_centrifuge_25000_SPZ.res	2954066	86935	51140	32859	0	3125000	0.945301	0.971412	0.958179	0.987248
strex_centrifuge_25000_ST.res	2728104	36051	331226	29619	0	3125000	0.872993	0.986958	0.926484	0.955632
strex_centrifuge_25000_STZ.res	2937035	106503	51140	30322	0	3125000	0.939851	0.965007	0.952263	0.986942
strex_clark_genus_250000.res	2628976	9530	486494	0	0	3125000	0.841272	0.996388	0.912284	0.960236
strex_clark_genus_25000_SP.res	2726114	12537	386349	0	0	3125000	0.872356	0.995422	0.929835	0.964634
strex_clark_genus_25000_SPZ.res	2959312	76955	88733	0	0	3125000	0.946980	0.974655	0.960618	0.997256
strex_clark_genus_25000_ST.res	2660664	31508	432828	0	0	3125000	0.851412	0.988296	0.914762	0.963463
strex_clark_genus_25000_STZ.res	2938871	97396	88733	0	0	3125000	0.940439	0.967922	0.953983	0.997313
strex_clark_species_250000.res	2311930	12115	800955	0	0	3125000	0.739818	0.994787	0.848563	0.927148
strex_clark_species_25000_SP.res	2421263	19614	684123	0	0	3125000	0.774804	0.991964	0.870038	0.931702
strex_clark_species_25000_SPZ.res	2786292	86698	252010	0	0	3125000	0.891613	0.969823	0.929075	0.983504
strex_clark_species_25000_ST.res	2299168	31376	794456	0	0	3125000	0.735734	0.986537	0.842874	0.913623
strex_clark_species_25000_STZ.res	2709889	163101	252010	0	0	3125000	0.867164	0.943230	0.903599	0.983322
strex_kraken1_250000.res	2700772	10042	376502	37684	0	3125000	0.864247	0.996296	0.925585	0.962139
strex_kraken1_25000_SP.res	2758406	10454	318353	37787	0	3125000	0.882690	0.996224	0.936027	0.963574
strex_kraken1_25000_SPZ.res	3009071	11987	65877	38065	0	3125000	0.962903	0.996032	0.979187	0.995891
strex_kraken1_25000_ST.res	2650693	31901	402622	39784	0	3125000	0.848222	0.988108	0.912837	0.952514
strex_kraken1_25000_STZ.res	2984705	34283	65877	40135	0	3125000	0.955106	0.988644	0.971586	0.995108
strex_kraken2_250000.res	2753750	14753	317806	38691	0	3125000	0.881200	0.994671	0.934504	0.968356
strex_kraken2_25000_SP.res	2834644	15279	236268	38809	0	3125000	0.907086	0.994639	0.948847	0.970411
strex_kraken2_25000_SPZ.res	3016702	18951	50208	39139	0	3125000	0.965345	0.993757	0.979345	0.996328
strex_kraken2_25000_ST.res	2789063	34697	260427	40813	0	3125000	0.892500	0.987712	0.937696	0.964617
strex_kraken2_25000_STZ.res	2993645	39632	50208	41515	0	3125000	0.957966	0.986934	0.972235	0.995461
